Date,CaseNum,CaseSum
2022-05-04,0,0
2022-05-05,0,0
2022-05-06,0,0
2022-05-07,0,0
2022-05-08,0,0
2022-05-09,0,0
2022-05-10,0,0
2022-05-11,0,0
2022-05-12,0,0
2022-05-13,0,0
2022-05-14,0,0
2022-05-15,0,0
2022-05-16,0,0
2022-05-17,0,0
2022-05-18,0,0
2022-05-19,1,1
2022-05-20,0,1
2022-05-21,0,1
2022-05-22,0,1
2022-05-23,0,1
2022-05-24,0,1
2022-05-25,1,2
2022-05-26,0,2
2022-05-27,0,2
2022-05-28,2,4
2022-05-29,0,4
2022-05-30,0,4
2022-05-31,0,4
2022-06-01,2,6
2022-06-02,2,8
2022-06-03,0,8
2022-06-04,1,9
2022-06-05,0,9
2022-06-06,2,11
2022-06-07,0,11
2022-06-08,0,11
2022-06-09,2,13
2022-06-10,2,15
2022-06-11,0,15
2022-06-12,0,15
2022-06-13,4,19
2022-06-14,7,26
2022-06-15,1,27
2022-06-16,4,31
2022-06-17,3,34
2022-06-18,4,38
2022-06-19,0,38
2022-06-20,5,43
2022-06-21,5,48
2022-06-22,10,58
2022-06-23,7,65
2022-06-24,2,67
2022-06-25,5,72
2022-06-26,11,83
2022-06-27,17,100
2022-06-28,9,109
2022-06-29,12,121
2022-06-30,17,138
2022-07-01,21,159
2022-07-02,5,164
2022-07-03,9,173
2022-07-04,8,181
2022-07-05,53,234
2022-07-06,24,258
2022-07-07,64,322
2022-07-08,49,371
2022-07-09,21,392
2022-07-10,19,411
2022-07-11,65,476
2022-07-12,61,537
2022-07-13,65,602
2022-07-14,63,665
2022-07-15,58,723
2022-07-16,30,753
2022-07-17,33,786
2022-07-18,77,863
2022-07-19,86,949
2022-07-20,90,1039
2022-07-21,72,1111
2022-07-22,82,1193
2022-07-23,37,1230
2022-07-24,42,1272
2022-07-25,97,1369
2022-07-26,87,1456
2022-07-27,76,1532
2022-07-28,77,1609
2022-07-29,71,1680
2022-07-30,58,1738
2022-07-31,41,1779
2022-08-01,93,1872
2022-08-02,82,1954
2022-08-03,81,2035
2022-08-04,75,2110
2022-08-05,71,2181
2022-08-06,36,2217
2022-08-07,31,2248
2022-08-08,83,2331
2022-08-09,64,2395
2022-08-10,70,2465
2022-08-11,77,2542
2022-08-12,60,2602
2022-08-13,21,2623
2022-08-14,25,2648
2022-08-15,71,2719
2022-08-16,52,2771
2022-08-17,37,2808
2022-08-18,51,2859
2022-08-19,48,2907
2022-08-20,22,2929
2022-08-21,20,2949
2022-08-22,37,2986
2022-08-23,37,3023
2022-08-24,28,3051
2022-08-25,29,3080
2022-08-26,36,3116
2022-08-27,17,3133
2022-08-28,17,3150
2022-08-29,33,3183
2022-08-30,34,3217
2022-08-31,25,3242
2022-09-01,20,3262
2022-09-02,17,3279
2022-09-03,14,3293
2022-09-04,15,3308
2022-09-05,13,3321
2022-09-06,27,3348
2022-09-07,19,3367
2022-09-08,23,3390
2022-09-09,18,3408
2022-09-10,16,3424
2022-09-11,7,3431
2022-09-12,26,3457
2022-09-13,11,3468
2022-09-14,13,3481
2022-09-15,11,3492
2022-09-16,14,3506
2022-09-17,9,3515
2022-09-18,6,3521
2022-09-19,16,3537
2022-09-20,11,3548
2022-09-21,8,3556
2022-09-22,12,3568
2022-09-23,8,3576
