"date","variable","strat","type","median","mean","sd","lower_95","lower_50","lower_20","upper_20","upper_50","upper_95"
2022-06-01,"R",NA,"estimate",2.18279310288684,2.21605815926075,0.423406132966238,1.48059617233683,1.9165382044786,2.08818208092836,2.28916554236682,2.46620125001613,3.1359686771608
2022-06-02,"R",NA,"estimate",2.23127815367358,2.26234768910533,0.405049689655403,1.56283197327324,1.97857557205412,2.13888220226195,2.33713849576105,2.50915620070141,3.11738264350557
2022-06-03,"R",NA,"estimate",2.28479197759004,2.3127608991051,0.389954094519197,1.62294328646812,2.03989968477209,2.19137780551431,2.37795408545962,2.55065267567376,3.12770044692371
2022-06-04,"R",NA,"estimate",2.33901554220682,2.36707561601034,0.378017827012274,1.69938648204473,2.09888772357567,2.25417302550089,2.43264245889269,2.60441133349802,3.15374723500979
2022-06-05,"R",NA,"estimate",2.39767817207501,2.42500770136467,0.369031621917364,1.77786787081888,2.16290218592005,2.31278570681477,2.48694999111261,2.65975531958898,3.18552642641174
2022-06-06,"R",NA,"estimate",2.45773013290896,2.48621176783676,0.362673861953096,1.84073552875534,2.23051880984568,2.37553938553314,2.54644044909436,2.71789785363728,3.224392414221
2022-06-07,"R",NA,"estimate",2.5244024309983,2.55028208109392,0.358517307502884,1.91578746220995,2.29708367590241,2.43871141678865,2.61357084462388,2.78168933385372,3.27636140084919
2022-06-08,"R",NA,"estimate",2.59187277687572,2.61675406984141,0.356048353090373,1.98600142195195,2.3716061839421,2.5068114449008,2.68440432661674,2.85015128506124,3.3372028462239
2022-06-09,"R",NA,"estimate",2.66217031074326,2.68510693031533,0.354700885560798,2.06056453709075,2.437600146555,2.57768924962976,2.75048574803015,2.91607371022578,3.41682504881115
2022-06-10,"R",NA,"estimate",2.73352676028283,2.75476725367986,0.353904455521722,2.12258550406815,2.51650187820457,2.65018041753411,2.82849900376205,2.98979881821516,3.49270457706614
2022-06-11,"R",NA,"estimate",2.80513294302971,2.82511269653462,0.353139447936448,2.19576933561768,2.57996028821721,2.72874218874532,2.90211012906453,3.05780029511125,3.57353907735113
2022-06-12,"R",NA,"estimate",2.87802216245229,2.89547407500485,0.35198434701245,2.26059901662618,2.6546738670226,2.79504612285,2.96510360117603,3.12322061510854,3.63374615597613
2022-06-13,"R",NA,"estimate",2.95264164246291,2.96513445041987,0.350139245147253,2.32500938226447,2.72800599846264,2.86544536535557,3.03976660580283,3.18824983356781,3.69555050304337
2022-06-14,"R",NA,"estimate",3.02836618400043,3.03332487454212,0.347418831905754,2.39505511851213,2.80138993428185,2.93536071583297,3.10717765920753,3.25029065054756,3.75504446036939
2022-06-15,"R",NA,"estimate",3.09132532161386,3.09921798405736,0.343722492235851,2.45703278959001,2.86347275575546,3.00212837289381,3.17021826736915,3.32209657284635,3.80569781476275
2022-06-16,"R",NA,"estimate",3.15362143610177,3.16192182763614,0.338999467401402,2.51771652787352,2.93263196956555,3.06466619421717,3.23088568396783,3.37799090598373,3.84799048266404
2022-06-17,"R",NA,"estimate",3.21143949305114,3.22047666718611,0.333227015353079,2.59976256159729,2.99414345509486,3.12489670882229,3.28722308838393,3.43321959043566,3.89866701290158
