ClusterID,Size
1,10
2,6
3,4
4,3
5,14
6,4
7,3
8,3
9,3
10,2
11,12
12,60
13,4
14,5
15,2
16,3
17,29
18,12
19,4
20,45
21,7
22,2
23,12
24,2
25,2
26,5
27,5
28,42
29,3
30,16
31,9
32,49
33,4
34,3
35,7
36,2
37,8
38,4
39,2
40,49
41,9
42,22
43,5
44,17
45,2
46,3
47,5
48,15
49,2
50,16
51,2
52,3
53,7
54,7
55,4
56,2
57,7
58,19
59,59
60,17
61,5
62,2
63,7
64,16
65,7
66,4
67,6
68,3
69,5
70,2
71,11
72,2
73,4
74,10
75,15
76,2
77,6
78,51
79,156
80,103
81,2
82,2
83,47
84,19
85,2
86,32
87,11
88,8
89,48
90,10
91,5
92,3
93,39
94,2
95,4
96,66
97,12
98,217
99,15
100,5
101,35
102,2
103,3
104,21
105,2
106,4
107,30
108,8
109,7
110,16
111,6
112,2
113,31
114,3
115,8
116,9
117,22
118,3
119,4
120,3
121,3
122,10
123,7
124,3
125,2
126,123
127,28
128,57
129,24
130,5
131,2
132,64
133,12
134,6
135,6
136,3
137,2
138,5
139,21
140,2
141,2
142,2
143,4
144,4
145,5
146,3
147,27
148,12
149,6
150,2
151,2
152,2
153,2
154,7
155,26
156,11
157,8
158,2
159,14
160,14
161,4
162,2
163,7
164,18
165,7
166,5
167,37
168,33
169,26
170,6
171,10
172,2
173,4
174,3
175,2
176,2
177,2
178,4
179,2
180,5
181,7
182,12
183,9
184,3
185,10
186,3
187,82
188,7
189,2
190,12
191,2
192,22
193,4
194,8
195,4
196,5
197,4
198,14
199,4
200,13
201,12
202,14
203,22
204,30
205,14
206,4
207,12
208,2
209,2
210,2
211,9
212,6
213,4
214,3
215,11
216,2
217,5
218,7
219,4
220,2
221,8
222,2
223,15
224,10
225,3
226,2
227,4
228,6
229,7
230,4
231,2
232,27
233,29
234,8
235,2
236,2
237,11
238,2
239,2
240,6
241,3
242,9
243,6
244,2
245,15
246,13
247,2
248,54
249,2
250,2
251,19
252,7
253,3
254,2
255,12
256,14
257,31
258,34
259,8
260,6
261,6
262,51
263,10
264,2
265,2
266,2
267,9
268,4
269,5
270,3
271,5
272,3
273,2
274,2
275,11
276,5
277,5
278,3
279,6
280,4
281,3
282,15
283,10
284,9
285,2
286,69
287,3
288,7
289,8
290,9
291,3
292,2
293,3
294,2
295,18
296,3
297,2
298,2
299,14
300,3
301,12
302,5
303,10
304,2
305,3
306,2
307,44
308,5
309,28
310,4
311,9
312,2
313,2
314,3
315,2
316,3
317,4
318,16
319,11
320,13
321,49
322,3
323,2
324,2
325,4
326,5
327,8
328,28
329,2
330,2
331,4
332,2
333,3
334,2
335,4
336,3
337,7
338,6
339,5
340,5
341,9
342,22
343,2
344,7
345,5
346,4
347,3
348,9
349,2
350,5
