cluster	leaves
1	OQ468980.1|2022-08-24,OQ468813.1|2022-06-30,OQ469273.1|2022-07-06,OQ468654.1|2022-07-05,OQ565511.1|2022-07-08,OQ468960.1|2022-08-11,OQ419037.1|2022-07-27,OQ565488.1|2022-07-07,OQ419040.1|2022-07-28,OQ468875.1|2022-07-03,OQ565543.1|2022-06-30,OQ468958.1|2022-08-12,OQ504416.1|2022-08-11,OQ469182.1|2022-08-02,OQ468470.1|2022-07-31,OQ468904.1|2022-07-26,OQ419048.1|2022-08-10,OQ469077.1|2022-08-05,OQ469061.1|2022-07-31,OQ468745.1|2022-07-19,OQ468513.1|2022-07-14,OQ469303.1|2022-07-08,OQ504421.1|2022-08-12,OQ468905.1|2022-07-30,OQ469097.1|2022-07-22,OQ468508.1|2022-07-21,OQ469102.1|2022-07-22,OQ468474.1|2022-08-04,OQ419087.1|2023-01-05,OQ468615.1|2022-10-04,OQ468476.1|2022-08-06,OQ419069.1|2022-07-19,OQ468556.1|2022-07-11,OQ468918.1|2022-06-06,OQ469220.1|2022-07-03,OQ469233.1|2022-06-24,OQ469149.1|2022-06-28,OQ468934.1|2022-06-22,OQ469050.1|2022-07-02,OQ469268.1|2022-07-05,OQ469255.1|2022-06-25,OQ469056.1|2022-07-01,OQ468925.1|2022-06-13,OQ468917.1|2022-06-02,OQ468788.1|2022-07-12,OQ468599.1|2022-07-07,OQ468919.1|2022-06-09,OQ468733.1|2022-07-16,OQ468636.1|2022-07-20,OQ565499.1|2022-07-07,OQ565535.1|2022-07-08,OQ468633.1|2022-07-19,OQ504417.1|2022-08-11,OQ468718.1|2022-09-23,OQ468608.1|2022-07-27,OQ469192.1|2022-07-19,OQ419009.1|2022-08-18,OQ565483.1|2022-07-05,OQ469093.1|2022-08-16,OQ418998.1|2022-10-11,OQ468812.1|2022-06-30,OQ468800.1|2022-07-11,OQ469204.1|2022-07-27,OQ468668.1|2022-07-11,OQ468660.1|2022-07-13,OQ419024.1|2022-07-25,OQ468656.1|2022-07-12,OQ468564.1|2022-06-30,OQ468698.1|2022-07-11,OQ469144.1|2022-06-26,OQ469132.1|2022-06-20,OQ504387.1|2022-06-04,hMpxV/USA/NY-NYULH1/2022|EPI_ISL_13817808|2022-06-04,OQ468836.1|2022-07-04,OQ468910.1|2022-08-04,OQ468863.1|2022-08-04,OQ504470.1|2022-07-30,OQ504413.1|2022-06-29,OQ469155.1|2022-06-28,OQ468892.1|2022-07-24,OQ468630.1|2022-07-18,OQ468709.1|2022-07-08,OQ468711.1|2022-08-01,OQ419011.1|2022-08-26,OQ468838.1|2022-07-05
2	OQ504400.1|2022-06-23,OQ469054.1|2022-07-05,OQ565513.1|2022-07-08,OQ468981.1|2022-08-24,OQ468727.1|2022-07-15,OQ468606.1|2022-07-05,OQ469046.1|2022-07-01,OQ468984.1|2022-09-01,OQ469066.1|2022-08-02,OQ468954.1|2022-08-12,OQ419051.1|2022-10-04,OQ468794.1|2022-07-12,OQ504458.1|2022-07-24,OQ468539.1|2022-07-10,OQ469109.1|2022-07-27,OQ469200.1|2022-07-23,OQ468522.1|2022-07-07,OQ468858.1|2022-08-03,OQ504460.1|2022-07-25,OQ504439.1|2022-07-13,OQ469059.1|2022-08-01,OQ419026.1|2022-07-25,OQ469198.1|2022-07-25,OQ419085.1|2022-07-28,OQ468879.1|2022-07-21,OQ468773.1|2022-07-20,OQ468870.1|2022-08-09,OQ468530.1|2022-07-08,OQ565505.1|2022-07-08,OQ504428.1|2022-08-23,OQ468764.1|2022-07-20,OQ469165.1|2022-07-01,OQ565542.1|2022-07-11,OQ468619.1|2022-07-14,OQ469085.1|2022-08-10,OQ469167.1|2022-07-01,OQ469264.1|2022-07-06,OQ469157.1|2022-06-27,OQ469285.1|2022-07-04,OQ468558.1|2022-06-26
3	OQ419076.1|2022-06-29,OQ469088.1|2022-08-10,OQ468953.1|2022-08-10,OQ419046.1|2022-08-01,OQ469043.1|2022-06-30,OQ469248.1|2022-07-05,OQ469146.1|2022-06-26,OQ504408.1|2022-06-29,OQ468887.1|2022-07-22,OQ468941.1|2022-06-23,OQ468552.1|2022-07-12,OQ468831.1|2022-07-01,OQ469307.1|2022-07-26,OQ468610.1|2022-07-06,OQ469272.1|2022-07-05,OQ469113.1|2022-06-29,OQ468997.1|2022-07-26,OQ469299.1|2022-07-07,OQ468651.1|2022-07-11,OQ468799.1|2022-07-13,OQ469183.1|2022-08-01,OQ468488.1|2022-08-14,OQ504468.1|2022-07-28,OQ468504.1|2022-07-20,OQ468678.1|2022-07-07,OQ419054.1|2022-07-15,OQ468496.1|2022-08-18,OQ468856.1|2022-08-04,OQ468851.1|2022-08-03,OQ468601.1|2022-07-05,OQ468626.1|2022-07-18,OQ419018.1|2022-07-22,OQ468702.1|2022-07-07,OQ468696.1|2022-07-07,OQ469290.1|2022-07-06,OQ468731.1|2022-07-13,OQ468744.1|2022-07-18,OQ468697.1|2022-07-07,OQ469258.1|2022-07-03
4	OQ504456.1|2022-07-25,OQ419025.1|2022-07-25,OQ469027.1|2022-06-14,OQ504469.1|2022-07-28,OQ469153.1|2022-06-26,OQ468774.1|2022-07-21,OQ468810.1|2022-07-13,OQ504438.1|2022-07-21,OQ468751.1|2022-07-19,OQ469084.1|2022-08-05,OQ468857.1|2022-08-03,OQ565526.1|2022-07-08,OQ468704.1|2022-07-11,OQ565452.1|2022-07-13,OQ565461.1|2022-07-14,OQ468979.1|2022-08-24,OQ468908.1|2022-08-01,OQ468849.1|2022-07-30,OQ468784.1|2022-10-24,OQ468811.1|2022-06-29,OQ468821.1|2022-06-30,OQ468729.1|2022-07-14,OQ469305.1|2022-07-10,OQ468550.1|2022-07-12,OQ469007.1|2022-07-30,OQ469111.1|2022-07-05,OQ469259.1|2022-07-05,OQ419065.1|2022-07-19,OQ469101.1|2022-07-22,OQ468739.1|2022-07-17,OQ469227.1|2022-07-02,OQ565509.1|2022-07-08,OQ468766.1|2022-07-20
5	OQ469274.1|2022-07-07,OQ469253.1|2022-06-30,OQ504426.1|2022-08-19,OQ468537.1|2022-07-08,OQ565546.1|2022-07-12,OQ468726.1|2022-07-15,OQ468648.1|2022-07-11,OQ504427.1|2022-08-18,OQ469062.1|2022-08-03,OQ468538.1|2022-07-08,OQ468528.1|2022-07-05,OQ468680.1|2022-07-07,OQ565462.1|2022-07-15,OQ419041.1|2022-07-25,OQ468646.1|2022-07-11,OQ468665.1|2022-07-13,OQ469086.1|2022-08-11,OQ565536.1|2022-07-11,OQ504473.1|2022-07-29,OQ468906.1|2022-07-31,OQ468706.1|2022-07-11,OQ468571.1|2022-07-05,OQ468998.1|2022-07-27,OQ468853.1|2022-08-03,OQ419049.1|2022-09-28,OQ468497.1|2022-08-20,OQ469087.1|2022-08-14,OQ504444.1|2022-07-22,OQ468503.1|2022-07-17,OQ468834.1|2022-07-01
6	OQ504429.1|2022-08-23,OQ468688.1|2022-07-07,OQ504442.1|2022-07-21,OQ468701.1|2022-07-10,OQ468622.1|2022-07-15,OQ468566.1|2022-06-27,OQ468512.1|2022-07-14,OQ469103.1|2022-07-23,OQ419039.1|2022-07-26,OQ469169.1|2022-07-01,OQ468523.1|2022-07-07,OQ468684.1|2022-07-07,OQ468570.1|2022-07-05,OQ419043.1|2022-07-30,OQ468987.1|2022-09-16,OQ469279.1|2022-07-05,OQ469226.1|2022-07-07,OQ418997.1|2022-07-25,OQ565547.1|2022-07-12,OQ419056.1|2022-07-15,OQ468971.1|2022-08-16,OQ469142.1|2022-06-25,OQ468933.1|2022-06-22
7	OQ565520.1|2022-07-08,OQ468840.1|2022-07-05,OQ468652.1|2022-07-11,OQ468717.1|2022-09-20,OQ504453.1|2022-07-24,OQ468952.1|2022-08-08,OQ468649.1|2022-07-12,OQ469011.1|2022-07-05,OQ468511.1|2022-07-13,OQ419027.1|2022-07-25,OQ469276.1|2022-07-05,OQ468529.1|2022-07-08,OQ468769.1|2022-07-20,OQ468948.1|2022-08-03,OQ468772.1|2022-07-19,OQ468495.1|2022-08-17,OQ419091.1|2023-01-11,OQ468955.1|2022-08-11,OQ419033.1|2022-07-25,OQ469181.1|2022-08-03
8	OQ469245.1|2022-06-27,OQ469235.1|2022-06-26,OQ469266.1|2022-07-06,OQ468973.1|2022-08-19,OQ468659.1|2022-07-11,OQ504451.1|2022-07-22,OQ468782.1|2022-10-19,OQ468776.1|2022-10-13,OQ468518.1|2022-10-31,OQ468949.1|2022-08-07,OQ468710.1|2022-07-11,OQ469210.1|2022-08-01,OQ468478.1|2022-08-07,OQ419045.1|2022-08-01,OQ468675.1|2022-07-06,OQ565522.1|2022-07-08,OQ468551.1|2022-07-11,OQ468516.1|2022-07-14,OQ468586.1|2022-07-06
9	OQ469096.1|2022-07-04,OQ469207.1|2022-07-26,OQ565538.1|2022-07-11,OQ565507.1|2022-07-08,OQ565474.1|2022-07-15,OQ468796.1|2022-07-12,OQ469178.1|2022-06-27,OQ468798.1|2022-07-12,OQ469110.1|2022-07-19,OQ565532.1|2022-07-11,OQ469242.1|2022-06-26,OQ468482.1|2022-08-05,OQ469297.1|2022-07-07,OQ504474.1|2022-08-09,OQ468707.1|2022-07-08,OQ468753.1|2022-07-19,OQ468907.1|2022-07-31,OQ565534.1|2022-07-07,OQ468942.1|2022-06-22
10	OQ468661.1|2022-07-08,OQ468801.1|2022-07-11,OQ468827.1|2022-06-30,OQ468793.1|2022-07-12,OQ468574.1|2022-07-05,OQ468992.1|2022-07-21,OQ469191.1|2022-07-22,OQ468715.1|2022-08-10,OQ468989.1|2022-07-20,OQ469143.1|2022-06-26,OQ469240.1|2022-06-27,OQ469105.1|2022-07-24,OQ469254.1|2022-07-04,OQ468972.1|2022-08-08,OQ468871.1|2022-09-12
